hour,time_label,traffic_period,real_veh_per_min_per_lane,real_arrival_prob_per_step,sim_arrival_prob_per_step,calibration_ratio,real_wait_fixed_timer_s,real_wait_rl_agent_s,real_rl_improvement_pct,sim_wait_fixed_timer_s,sim_wait_rl_agent_s,sim_rl_improvement_pct
0,00:00,Off-Peak,1.2,0.000333,0.025,75.0,4.2,3.7,12,0.38,0.33,13.2
1,01:00,Off-Peak,0.8,0.000222,0.025,112.5,3.1,2.8,10,0.28,0.25,10.7
2,02:00,Off-Peak,0.6,0.000167,0.025,150.0,2.8,2.5,9,0.25,0.23,8.0
3,03:00,Off-Peak,0.5,0.000139,0.025,180.0,2.5,2.3,8,0.23,0.21,8.7
4,04:00,Off-Peak,0.7,0.000194,0.025,128.57,2.9,2.6,10,0.26,0.24,7.7
5,05:00,Off-Peak,1.4,0.000389,0.025,64.29,3.8,3.3,14,0.34,0.3,11.8
6,06:00,Normal,3.2,0.000889,0.025,28.12,7.4,5.8,22,0.67,0.52,22.4
7,07:00,Peak,7.8,0.002167,0.025,11.54,14.2,9.8,31,1.29,0.89,31.0
8,08:00,Peak,11.2,0.003111,0.025,8.04,22.8,14.1,38,2.06,1.28,37.9
9,09:00,Peak,9.4,0.002611,0.025,9.57,18.6,12.3,34,1.68,1.11,33.9
10,10:00,Normal,7.1,0.001972,0.025,12.68,12.3,8.9,28,1.11,0.8,27.9
11,11:00,Normal,7.8,0.002167,0.025,11.54,13.1,9.3,29,1.19,0.84,29.4
12,12:00,Normal,8.9,0.002472,0.025,10.11,15.7,10.5,33,1.42,0.95,33.1
13,13:00,Normal,8.2,0.002278,0.025,10.98,14.4,9.9,31,1.3,0.9,30.8
14,14:00,Normal,7.6,0.002111,0.025,11.84,12.8,9.2,28,1.16,0.83,28.4
15,15:00,Normal,8.4,0.002333,0.025,10.71,14.6,10.2,30,1.32,0.93,29.5
16,16:00,Normal,9.8,0.002722,0.025,9.18,17.2,11.4,34,1.56,1.03,34.0
17,17:00,Peak,12.1,0.003361,0.025,7.44,24.3,14.6,40,2.2,1.32,40.0
18,18:00,Peak,10.4,0.002889,0.025,8.65,19.8,12.7,36,1.79,1.15,35.8
19,19:00,Peak,8.3,0.002306,0.025,10.84,15.2,10.5,31,1.38,0.95,31.2
20,20:00,Normal,6.2,0.001722,0.025,14.52,10.4,7.8,25,0.94,0.71,24.5
21,21:00,Normal,4.8,0.001333,0.025,18.75,8.1,6.5,20,0.73,0.59,19.2
22,22:00,Off-Peak,3.1,0.000861,0.025,29.03,5.9,5.0,16,0.53,0.45,15.1
23,23:00,Off-Peak,1.9,0.000528,0.025,47.37,3.7,3.2,13,0.33,0.29,12.1
