episode,reward,avg_wait_time,avg_ambulance_wait,avg_firetruck_wait,throughput_per_min,total_spawned,total_cleared,ambulance_cleared,firetruck_cleared,epsilon,mean_td_error
1,-89.5,1.81,0.0,0.0,103.2,57,43,0,0,0.998,0.5833
2,-212.65,1.53,1.73,0.0,93.6,52,39,1,0,0.996,0.755
3,-653.25,1.61,1.37,2.5,98.4,55,41,6,1,0.994,1.8977
4,-419.6,1.88,0.98,1.77,103.2,60,43,4,1,0.992,1.956
5,-19.35,1.49,0.0,0.0,103.2,56,43,0,0,0.99,0.7918
6,36.9,1.39,0.51,1.2,105.6,55,44,3,1,0.9881,1.2853
7,432.35,0.71,0.41,0.02,93.6,54,39,2,2,0.9861,1.3402
8,147.75,1.52,0.02,0.0,108.0,62,45,2,0,0.9841,0.9892
9,130.8,1.14,0.38,0.33,93.6,54,39,2,1,0.9821,1.1479
10,198.75,1.22,0.0,0.2,112.8,57,47,0,1,0.9802,1.0165
11,-71.95,1.43,0.0,0.0,115.2,62,48,0,0,0.9782,0.9558
12,-503.5,1.99,3.72,0.57,110.4,63,46,1,2,0.9763,1.7767
13,-12.0,1.55,0.02,0.02,79.2,46,33,1,1,0.9743,0.9978
14,-161.45,1.64,2.67,0.75,98.4,54,41,1,1,0.9724,1.2279
15,-92.9,1.86,0.68,0.9,96.0,54,40,4,1,0.9704,1.6849
16,110.1,1.97,0.0,0.22,120.0,65,50,0,1,0.9685,1.3289
17,-98.35,1.71,0.0,0.0,96.0,52,40,0,0,0.9665,0.865
18,53.1,1.02,0.8,0.0,105.6,53,44,2,0,0.9646,0.9541
19,296.55,1.32,0.0,0.02,108.0,56,45,0,2,0.9627,1.3864
20,-96.3,1.9,1.38,0.0,112.8,65,47,1,0,0.9608,1.0808
21,-564.25,1.6,0.02,1.45,100.8,56,42,2,5,0.9588,2.6025
22,-42.1,1.3,0.0,0.0,105.6,55,44,0,0,0.9569,0.8509
23,323.05,1.36,0.02,0.0,117.6,63,49,3,0,0.955,1.2179
24,-13.95,1.83,0.02,0.02,120.0,64,50,1,1,0.9531,1.3864
25,8.45,1.34,0.0,0.0,103.2,55,43,0,0,0.9512,0.9092
26,39.3,0.92,0.9,0.0,103.2,54,43,2,0,0.9493,0.9865
27,154.25,1.76,0.78,0.36,105.6,57,44,3,2,0.9474,1.984
28,-275.1,1.94,0.0,1.77,115.2,64,48,0,1,0.9455,1.4226
29,18.55,1.42,0.0,0.0,110.4,56,46,0,0,0.9436,1.0211
30,-1084.95,1.47,1.85,1.68,96.0,52,40,5,4,0.9417,3.2657
31,244.55,1.1,0.02,0.0,98.4,55,41,2,0,0.9398,1.1524
32,-23.7,1.59,0.0,0.0,122.4,67,51,0,0,0.9379,1.0103
33,-376.6,1.21,1.4,1.1,100.8,54,42,2,2,0.9361,1.8185
34,347.75,1.27,0.0,0.02,96.0,52,40,0,2,0.9342,1.358
35,206.3,1.27,0.0,0.02,108.0,60,45,0,1,0.9323,0.9862
36,133.2,1.6,2.43,0.43,117.6,62,49,1,3,0.9305,1.7114
37,-69.8,1.59,0.0,0.0,105.6,52,44,0,0,0.9286,0.8168
38,-139.45,1.25,0.0,0.0,88.8,51,37,0,0,0.9267,0.964
39,199.7,1.92,0.02,0.02,110.4,63,46,1,1,0.9249,1.2973
40,-62.9,2.09,0.0,0.85,110.4,61,46,0,1,0.923,1.2915
41,-78.5,1.63,0.0,0.0,98.4,53,41,0,0,0.9212,0.876
42,218.15,1.43,0.02,0.25,98.4,55,41,1,1,0.9194,1.1853
43,20.25,1.51,0.0,0.0,112.8,57,47,0,0,0.9175,1.0796
44,7.75,1.63,0.0,0.0,122.4,65,51,0,0,0.9157,0.9378
45,-427.25,1.63,1.58,1.57,93.6,52,39,3,2,0.9138,1.8648
46,-133.2,1.46,1.09,0.0,100.8,50,42,3,0,0.912,1.1654
47,-173.9,1.44,0.02,0.0,115.2,61,48,1,0,0.9102,1.16
48,-52.1,1.87,1.38,0.52,120.0,64,50,2,1,0.9084,1.4849
49,-97.25,1.61,0.97,0.0,100.8,55,42,2,0,0.9066,1.1854
50,-201.95,1.31,2.8,0.0,98.4,54,41,1,0,0.9047,1.1529
51,-362.5,1.47,1.9,0.57,98.4,52,41,3,2,0.9029,1.8306
52,269.05,1.63,0.02,0.18,112.8,62,47,2,1,0.9011,1.2731
53,-138.45,1.15,0.02,0.0,96.0,55,40,1,0,0.8993,1.1014
54,130.85,1.15,2.98,0.12,100.8,54,42,1,2,0.8975,1.6051
55,334.4,1.13,0.17,0.02,110.4,60,46,2,1,0.8957,1.4197
56,28.35,2.01,0.02,0.0,117.6,66,49,1,0,0.8939,1.1079
57,299.65,1.33,0.02,0.2,93.6,52,39,1,2,0.8922,1.4244
58,222.7,0.84,0.57,0.02,100.8,57,42,1,1,0.8904,1.1799
59,165.0,1.16,0.02,0.0,112.8,57,47,1,0,0.8886,1.0269
60,-99.9,1.57,0.63,0.0,112.8,65,47,2,0,0.8868,1.4152
61,-116.0,1.83,0.0,0.0,98.4,56,41,0,0,0.885,0.8532
62,-107.0,1.16,0.0,0.0,91.2,48,38,0,0,0.8833,0.8402
63,-216.65,1.72,0.19,1.47,93.6,56,39,2,3,0.8815,2.0828
64,0.65,1.57,0.0,0.0,120.0,65,50,0,0,0.8797,1.0014
65,-66.1,1.66,0.0,0.0,105.6,55,44,0,0,0.878,0.7886
66,273.3,1.41,0.02,0.33,96.0,50,40,1,2,0.8762,1.7814
67,101.0,1.07,0.0,0.0,115.2,63,48,0,0,0.8745,0.8284
68,-1092.2,2.39,0.0,3.2,100.8,58,42,0,2,0.8727,1.7543
69,10.55,1.26,0.02,0.0,110.4,59,46,3,0,0.871,1.2868
70,321.25,1.51,0.51,0.02,98.4,52,41,2,2,0.8692,1.8003
71,165.0,1.01,0.02,0.0,120.0,63,50,1,0,0.8675,1.0476
72,-395.55,1.8,1.42,0.0,100.8,58,42,6,0,0.8658,1.6083
73,99.4,1.04,0.55,0.0,108.0,58,45,2,0,0.864,1.0764
74,-142.85,1.13,2.07,0.0,103.2,55,43,1,0,0.8623,1.1222
75,21.15,1.64,1.8,0.36,98.4,55,41,3,3,0.8606,2.0896
76,110.35,1.39,0.02,0.4,110.4,65,46,1,1,0.8589,1.6263
77,-123.5,1.33,2.2,0.0,108.0,56,45,1,0,0.8571,1.1554
78,-344.0,1.94,0.95,0.25,86.4,45,36,2,1,0.8554,1.6188
79,325.45,1.44,0.06,0.02,110.4,62,46,2,1,0.8537,1.3009
80,-442.65,1.46,0.02,1.48,105.6,59,44,3,1,0.852,1.8369
81,-129.2,1.59,0.95,0.86,91.2,53,38,4,2,0.8503,2.0431
82,-143.55,0.92,0.0,0.18,98.4,54,41,0,1,0.8486,1.5526
83,-127.8,1.27,1.8,0.0,108.0,59,45,2,0,0.8469,1.45
84,-565.0,1.77,2.87,0.85,110.4,62,46,1,3,0.8452,2.2372
85,-30.8,1.38,0.0,0.0,100.8,53,42,0,0,0.8435,0.838
86,39.95,1.37,0.02,0.0,105.6,56,44,1,0,0.8418,1.226
87,-590.45,1.41,1.63,1.58,100.8,56,42,5,1,0.8402,2.129
88,423.95,2.02,0.02,0.02,117.6,66,49,1,2,0.8385,1.6548
89,-1.8,1.03,0.0,0.02,93.6,52,39,0,1,0.8368,1.1275
90,241.1,1.5,0.4,0.02,91.2,51,38,2,1,0.8351,1.3329
91,161.55,1.51,0.0,0.02,115.2,59,48,0,1,0.8334,1.2586
92,77.85,1.76,0.0,0.02,112.8,64,47,0,1,0.8318,1.3267
93,30.05,1.53,1.13,0.02,93.6,49,39,1,1,0.8301,1.3163
94,35.0,1.3,0.0,0.0,105.6,58,44,0,0,0.8285,1.1144
95,-42.2,1.31,0.0,0.02,110.4,62,46,0,1,0.8268,1.2582
96,128.85,1.37,0.5,0.02,115.2,61,48,1,1,0.8251,1.4133
97,-22.7,1.4,0.02,0.0,93.6,49,39,1,0,0.8235,0.8297
98,192.05,1.49,0.0,0.02,110.4,59,46,0,1,0.8219,1.0909
99,142.2,1.41,1.32,0.02,105.6,59,44,2,1,0.8202,1.3756
100,28.8,1.6,0.6,0.0,117.6,65,49,1,0,0.8186,1.1364
101,-64.75,1.4,0.0,0.0,96.0,52,40,0,0,0.8169,0.6845
102,-488.05,1.51,0.0,2.32,93.6,49,39,0,1,0.8153,1.5715
103,209.7,0.89,1.03,0.02,108.0,56,45,1,1,0.8137,1.4226
104,28.85,1.98,0.02,0.0,115.2,65,48,1,0,0.812,1.1455
105,101.05,1.58,1.63,0.14,84.0,49,35,4,4,0.8104,2.3963
106,-145.8,1.61,0.0,0.0,96.0,52,40,0,0,0.8088,0.8805
107,81.4,1.03,0.0,0.0,103.2,53,43,0,0,0.8072,0.8916
108,-241.35,1.79,0.39,2.52,108.0,61,45,2,1,0.8056,1.6521
109,-136.25,1.57,0.0,1.42,105.6,56,44,0,1,0.8039,1.2692
110,-354.65,1.63,1.33,1.58,100.8,56,42,4,1,0.8023,1.9188
111,17.15,1.26,0.0,1.05,110.4,61,46,0,1,0.8007,1.5045
112,95.05,2.07,0.0,0.02,117.6,64,49,0,1,0.7991,1.1477
113,-38.35,1.48,0.0,0.0,103.2,55,43,0,0,0.7975,0.8325
114,-185.65,0.93,1.51,0.0,98.4,52,41,3,0,0.7959,1.433
115,-10.8,1.49,0.0,0.65,105.6,58,44,0,1,0.7944,1.2459
116,-56.6,1.91,0.02,0.0,112.8,63,47,1,0,0.7928,1.0847
117,243.75,1.84,1.39,0.09,91.2,51,38,3,3,0.7912,1.7785
118,-49.6,1.21,0.0,0.0,103.2,55,43,0,0,0.7896,1.1141
119,-165.85,1.59,0.0,1.27,115.2,59,48,0,2,0.788,1.7287
120,-1522.5,1.96,0.0,3.72,93.6,58,39,0,1,0.7864,1.6094
121,-130.0,1.81,0.0,0.0,98.4,56,41,0,0,0.7849,0.8371
122,4.9,1.39,0.98,0.0,105.6,56,44,3,0,0.7833,1.319
123,154.95,1.66,0.0,0.02,98.4,57,41,0,2,0.7817,1.4773
124,12.4,1.67,0.23,0.0,117.6,63,49,1,0,0.7802,1.1405
125,-46.8,1.37,1.02,0.0,103.2,55,43,1,0,0.7786,1.0191
126,253.7,1.39,0.0,0.02,98.4,57,41,0,2,0.777,1.3683
127,31.85,1.22,0.0,0.0,108.0,58,45,0,0,0.7755,0.9097
128,14.05,1.94,0.88,0.4,115.2,63,48,3,1,0.7739,1.7414
129,-589.25,1.58,0.02,0.0,86.4,53,36,1,0,0.7724,1.2794
130,167.45,1.36,1.0,0.02,105.6,56,44,1,1,0.7709,1.2324
131,-84.6,1.86,1.0,0.0,105.6,58,44,1,0,0.7693,1.02
132,-141.55,1.93,1.54,0.02,108.0,61,45,5,1,0.7678,1.8346
133,22.25,1.39,0.0,0.02,96.0,50,40,0,1,0.7662,1.2335
134,-16.25,1.28,0.0,0.0,100.8,51,42,0,0,0.7647,0.9402
135,-358.45,1.75,1.17,0.0,105.6,60,44,5,0,0.7632,1.6866
136,-514.35,1.77,2.14,0.98,108.0,61,45,3,2,0.7616,2.0361
137,46.05,1.32,0.5,0.0,103.2,59,43,1,0,0.7601,1.0511
138,-366.4,1.41,2.18,0.0,96.0,51,40,2,0,0.7586,1.2253
139,111.6,1.55,0.02,0.0,105.6,57,44,1,0,0.7571,1.0608
140,7.8,1.56,0.0,0.0,122.4,64,51,0,0,0.7556,1.0262
141,115.4,1.1,0.02,0.02,93.6,52,39,1,1,0.7541,0.987
142,91.6,1.06,0.02,0.0,93.6,53,39,2,0,0.7526,0.9416
143,510.4,1.22,0.02,0.02,110.4,58,46,1,2,0.751,1.4537
144,69.75,1.68,0.46,0.0,115.2,63,48,2,0,0.7495,1.3042
145,-52.05,1.32,0.0,0.0,100.8,53,42,0,0,0.748,0.7373
146,-66.35,1.61,0.0,0.0,103.2,55,43,0,0,0.7466,0.9142
147,-1988.55,2.53,4.0,3.29,96.0,52,40,3,2,0.7451,2.5641
148,270.0,1.79,0.02,0.02,115.2,63,48,1,1,0.7436,1.2644
149,-160.8,2.03,0.0,0.0,91.2,50,38,0,0,0.7421,0.8467
150,104.1,1.9,0.81,0.02,86.4,50,36,3,2,0.7406,1.6293
151,287.4,1.16,0.0,0.02,120.0,62,50,0,1,0.7391,1.2001
152,58.75,1.76,0.02,0.0,115.2,65,48,1,0,0.7376,1.0172
153,-91.65,1.82,1.17,0.68,88.8,51,37,1,2,0.7362,1.5317
154,40.25,1.53,0.0,0.85,108.0,56,45,0,1,0.7347,1.1182
155,142.25,2.31,0.02,0.02,108.0,56,45,1,1,0.7332,1.3213
156,-976.5,2.25,1.96,2.2,105.6,57,44,6,1,0.7318,2.2838
157,124.4,1.59,0.0,0.02,98.4,55,41,0,1,0.7303,1.1039
158,127.0,1.23,0.02,0.0,115.2,60,48,1,0,0.7288,1.0361
159,-1754.35,2.33,2.5,3.37,96.0,55,40,1,3,0.7274,2.5474
160,-83.75,2.17,0.0,0.0,120.0,65,50,0,0,0.7259,1.0717
161,-25.45,1.44,0.0,0.0,98.4,53,41,0,0,0.7245,0.8659
162,81.45,1.21,0.46,0.07,88.8,48,37,4,1,0.723,1.576
163,132.15,1.32,0.02,0.0,110.4,59,46,1,0,0.7216,0.9676
164,-322.85,1.93,1.97,1.52,115.2,62,48,1,1,0.7201,1.556
165,417.35,1.62,0.0,0.08,98.4,56,41,0,3,0.7187,1.5253
166,121.15,1.51,0.0,0.02,105.6,55,44,0,1,0.7172,1.1887
167,38.85,1.39,0.0,0.0,117.6,62,49,0,0,0.7158,0.9962
168,-1527.0,2.47,2.55,2.89,105.6,59,44,1,3,0.7144,2.273
169,-155.1,1.93,0.0,0.0,93.6,52,39,0,0,0.713,0.8202
170,-275.0,1.61,0.0,0.0,103.2,57,43,0,0,0.7115,1.2588
171,-181.75,1.66,1.37,0.55,96.0,55,40,4,1,0.7101,1.7603
172,-123.3,1.94,0.0,0.0,120.0,67,50,0,0,0.7087,0.9805
173,158.8,1.33,0.8,0.02,108.0,55,45,1,1,0.7073,1.0976
174,83.95,2.31,0.02,0.02,72.0,45,30,3,2,0.7059,1.6333
175,222.15,1.28,0.0,0.02,110.4,60,46,0,1,0.7044,1.0941
176,-314.25,1.67,0.58,0.02,108.0,64,45,2,1,0.703,1.6352
177,144.15,1.52,0.02,0.43,93.6,55,39,1,1,0.7016,1.0535
178,-80.15,0.95,0.0,0.0,93.6,49,39,0,0,0.7002,1.0897
179,-33.0,1.91,0.0,0.0,117.6,62,49,0,0,0.6988,1.065
180,-1416.4,1.78,1.84,1.53,100.8,58,42,6,1,0.6974,2.7945
181,-175.2,0.97,1.86,0.02,96.0,51,40,3,1,0.696,1.6347
182,-91.2,1.2,2.02,0.0,103.2,57,43,1,0,0.6946,1.0147
183,-57.25,1.9,3.02,0.75,110.4,60,46,1,4,0.6932,2.0599
184,-148.65,1.71,1.29,0.0,110.4,64,46,3,0,0.6919,1.5918
185,-343.05,1.82,2.98,0.0,84.0,50,35,1,0,0.6905,1.0955
186,95.75,1.16,0.1,0.0,100.8,54,42,1,0,0.6891,1.0319
187,101.8,1.4,0.23,0.0,110.4,61,46,1,0,0.6877,0.8762
188,-138.35,1.76,0.02,1.58,115.2,65,48,1,1,0.6863,1.4258
189,-112.2,1.77,0.38,1.18,98.4,53,41,2,1,0.685,1.5759
190,28.35,1.25,0.02,0.0,103.2,54,43,1,0,0.6836,1.247
191,-253.5,1.66,2.08,1.0,108.0,59,45,1,1,0.6822,1.4983
192,-95.8,1.34,0.02,1.12,115.2,64,48,1,1,0.6809,1.4634
193,-122.8,1.36,0.02,0.0,105.6,54,44,1,0,0.6795,1.1389
194,57.85,1.56,0.0,0.02,93.6,49,39,0,1,0.6781,1.2033
195,383.15,1.56,0.02,0.02,96.0,54,40,3,1,0.6768,1.5182
196,-126.8,1.84,1.95,0.0,115.2,65,48,1,0,0.6754,1.3018
197,-219.65,1.76,1.55,0.0,103.2,54,43,2,0,0.6741,1.2143
198,-2545.45,2.66,0.02,2.79,81.6,48,34,1,6,0.6727,3.4342
199,70.35,1.08,0.0,0.0,103.2,52,43,0,0,0.6714,1.0632
200,-438.05,1.73,1.43,1.49,103.2,59,43,3,2,0.6701,2.0782
201,38.7,1.07,0.13,0.02,100.8,55,42,3,1,0.6687,1.4969
202,439.4,1.52,0.02,0.02,91.2,50,38,2,2,0.6674,1.6546
203,114.15,0.92,0.0,0.0,115.2,61,48,0,0,0.666,0.983
204,-418.5,2.05,2.29,0.78,110.4,62,46,3,2,0.6647,2.1019
205,-162.65,1.09,1.47,0.0,93.6,52,39,2,0,0.6634,1.2953
206,-172.3,1.43,0.0,0.0,105.6,57,44,0,0,0.6621,1.0671
207,-1659.35,2.32,2.11,1.81,86.4,53,36,2,4,0.6607,2.8481
208,42.25,2.0,0.02,0.0,115.2,65,48,1,0,0.6594,1.1621
209,-161.4,2.02,0.0,0.0,93.6,53,39,0,0,0.6581,0.8854
210,-53.55,1.34,0.02,2.0,100.8,55,42,3,1,0.6568,1.5424
211,226.65,1.41,0.02,0.0,117.6,60,49,2,0,0.6555,1.0453
212,137.1,2.61,1.19,0.2,105.6,59,44,2,3,0.6541,1.7256
213,-25.45,1.25,0.37,1.27,91.2,52,38,3,1,0.6528,1.4607
214,-55.15,1.74,0.0,0.0,100.8,52,42,0,0,0.6515,1.0053
215,-66.2,1.57,1.43,0.0,100.8,58,42,1,0,0.6502,1.1417
216,69.75,1.53,0.02,0.0,122.4,69,51,1,0,0.6489,1.168
217,132.15,1.68,0.0,0.02,100.8,56,42,0,1,0.6476,1.1903
218,182.55,1.23,0.0,0.02,108.0,56,45,0,1,0.6463,1.2604
219,258.9,1.82,0.02,0.02,108.0,57,45,1,1,0.645,1.1596
220,204.2,1.73,0.02,0.02,112.8,66,47,1,1,0.6438,1.2493
221,-79.95,1.99,0.0,0.25,93.6,50,39,0,1,0.6425,1.3038
222,-499.2,1.17,0.62,0.43,108.0,59,45,2,2,0.6412,1.8565
223,61.05,1.62,2.03,0.02,103.2,60,43,1,1,0.6399,1.2646
224,-43.35,1.68,1.2,0.0,115.2,64,48,2,0,0.6386,1.485
